PREFIJO;LOCALIDAD;PROVINCIA;DEPARTAMENTO
3575;LAS SALADAS;CORDOBA;RIO PRIMERO
3575;MAQUINISTA GALLINI;CORDOBA;RIO PRIMERO
3575;MONTE DEL ROSARIO;CORDOBA;RIO PRIMERO
3575;OBISPO TREJO;CORDOBA;RIO PRIMERO
3575;VILLA FONTANA;CORDOBA;RIO PRIMERO
3576;ARROYITO;CORDOBA;SAN JUSTO
3576;COLONIA COYUNDA;CORDOBA;
3576;COLONIA CUATRO ESQUINAS;CORDOBA;RIO PRIMERO
3576;COLONIA LA TORDILLA;CORDOBA;SAN JUSTO
3576;COLONIA POZO DEL CHAJA;CORDOBA;
3576;EL FUERTECITO;CORDOBA;SAN JUSTO
3576;EL MANANTIAL;CORDOBA;
3576;EL TIO;CORDOBA;SAN JUSTO
3576;LA CORTADERA;CORDOBA;
3576;LA TORDILLA;CORDOBA;SAN JUSTO
3576;LAS GRAMILLAS;CORDOBA;RIO PRIMERO
3576;LOS CHANARITOS;CORDOBA;RIO SEGUNDO
3576;POZO DE LA LOMA;CORDOBA;
3576;TORO PUJIO;CORDOBA;SAN JUSTO
3576;TRANSITO;CORDOBA;SAN JUSTO
3576;VILLA CONCEPCION DEL TIO;CORDOBA;SAN JUSTO
3576;VILLA DEL TRANSITO;CORDOBA;SAN JUSTO
358;ALCIRA;CORDOBA;RIO CUARTO
358;ALEJANDRO ROCA;CORDOBA;JUAREZ CELMAN
358;ALPA CORRAL;CORDOBA;RIO CUARTO
358;BERROTARAN;CORDOBA;RIO CUARTO
358;CARNERILLO;CORDOBA;JUAREZ CELMAN
358;COLONIA DOLORES;CORDOBA;
358;COLONIA EL CARMEN;CORDOBA;
358;CORONEL BAIGORRIA;CORDOBA;RIO CUARTO
358;CHARRAS;CORDOBA;JUAREZ CELMAN
358;CHUCUL;CORDOBA;RIO CUARTO
358;EL BAÑADO;CORDOBA;SAN ALBERTO
358;EL CHACAY;CORDOBA;RIO CUARTO
358;ELENA;CORDOBA;RIO CUARTO
358;ESPINILLO;CORDOBA;SANTA MARIA
358;GENERAL CABRERA;CORDOBA;JUAREZ CELMAN
358;GENERAL DEHEZA;CORDOBA;JUAREZ CELMAN
358;HOLMBERG;CORDOBA;RIO CUARTO
358;HUERTA VIEJA;CORDOBA;
358;LA AGUADA;CORDOBA;
358;LA BARRANQUITA;CORDOBA;
358;LA CALERA CALAMUCHITA;CORDOBA;COLON
358;LA CAROLINA;CORDOBA;RIO CUARTO
358;LA ESQUINA;CORDOBA;RIO PRIMERO
358;LA GILDA;CORDOBA;RIO CUARTO
358;LAS ACEQUIAS;CORDOBA;RIO CUARTO
358;LAS ALBAHACAS;CORDOBA;RIO CUARTO
358;LAS CAÑITAS;CORDOBA;
358;LAS HIGUERAS;CORDOBA;RIO CUARTO
358;LAS QUINTAS;CORDOBA;RIO PRIMERO
358;LAS VERTIENTES;CORDOBA;RIO CUARTO
358;LOS MOLLES;CORDOBA;COLON
358;OLAETA;CORDOBA;JUAREZ CELMAN
358;PASO DEL DURAZNO;CORDOBA;RIO CUARTO
358;RIO CUARTO;CORDOBA;RIO CUARTO
358;RIO DE LOS SAUCES;CORDOBA;CALAMUCHITA
358;RODEO VIEJO;CORDOBA;
358;SAN AMBROSIO;CORDOBA;
358;VILLA REDUCCION;CORDOBA;JUAREZ CELMAN
3582;ACHIRAS;CORDOBA;RIO CUARTO
3582;BULNES;CORDOBA;RIO CUARTO
3582;CORONEL MOLDES;CORDOBA;RIO CUARTO
3582;CHAJAN;CORDOBA;RIO CUARTO
3582;CHAÑARITOS;CORDOBA;RIO SEGUNDO
3582;FRAGUEYRO;CORDOBA;
3582;LOS JAGUELES;CORDOBA;
3582;MALENA;CORDOBA;RIO CUARTO
3582;SAMPACHO;CORDOBA;RIO CUARTO
3582;SUCO;CORDOBA;RIO CUARTO
3583;DEL CAMPILLO;CORDOBA;GENERAL ROCA
3583;GENERAL SOLER;CORDOBA;
3583;LA CAUTIVA;CORDOBA;RIO CUARTO
3583;LA LEGUA;CORDOBA;
3583;MATTALDI;CORDOBA;GENERAL ROCA
3583;NICOLAS BRUZONE;CORDOBA;GENERAL ROCA
3583;TOSQUITA;CORDOBA;RIO CUARTO
3583;VICUÑA MACKENNA;CORDOBA;RIO CUARTO
3583;VILLA SARMIENTO;CORDOBA;SAN ALBERTO
3583;VILLA VALERIA;CORDOBA;GENERAL ROCA
3583;WASHINGTON;CORDOBA;RIO CUARTO
3584;EL RASTREADOR;CORDOBA;JUAREZ CELMAN
3584;HUANCHILLA;CORDOBA;JUAREZ CELMAN
3584;LA CARLOTA;CORDOBA;JUAREZ CELMAN
3584;LOS CISNES;CORDOBA;JUAREZ CELMAN
3584;SANTA EUFEMIA;CORDOBA;JUAREZ CELMAN
3585;ADELIA MARIA;CORDOBA;RIO CUARTO
3585;LA BRIANZA;CORDOBA;
3585;MONTE DE LOS GAUCHOS;CORDOBA;RIO CUARTO
3585;PUNTA DEL AGUA;CORDOBA;TERCERO ARRIBA
3585;SAN BASILIO;CORDOBA;RIO CUARTO
362;BARRIO LOS PESCADORES;CHACO;PRIMERO DE MAYO
362;BASAIL;CHACO;SAN FERNANDO
362;COLONIA BENITEZ;CHACO;PRIMERO DE MAYO
362;COLONIA POPULAR;CHACO;LIBERTAD
362;GENERAL VEDIA;CHACO;BERMEJO
362;ISLA DEL CERRITO;CHACO;BERMEJO
362;LA ESCONDIDA;CHACO;GENERAL DONOVAN
362;LA LEONESA;CHACO;BERMEJO
362;LA VERDE;CHACO;GENERAL DONOVAN
362;LAGUNA BLANCA;CHACO;LIBERTAD
362;LAPACHITO;CHACO;GENERAL DONOVAN
362;MAKALLE;CHACO;GENERAL DONOVAN
362;MARGARITA BELEN;CHACO;PRIMERO DE MAYO
362;PUERTO BASTIANI;CHACO;
362;PUERTO BERMEJO;CHACO;BERMEJO
362;PUERTO TIROL;CHACO;LIBERTAD
362;RESISTENCIA;CHACO;SAN FERNANDO
364;AVIA TERAI;CHACO;INDEPENDENCIA
364;CAMPO LARGO;CHACO;INDEPENDENCIA
364;COLONIA ABORIGEN CHACO;CHACO;VEINTICINCO DE MAYO
364;CONCEPCION DEL BERMEJO;CHACO;ALMIRANTE BROWN
364;EL PALMAR;CHACO;QUITILIPI
364;JUAN JOSE CASTELLI;CHACO;GENERAL GUEMES
364;LA TIGRA;CHACO;O'HIGGINS
364;LOS FRENTONES;CHACO;ALMIRANTE BROWN
364;NAPENAY;CHACO;INDEPENDENCIA
364;PAMPA DEL INFIERNO;CHACO;ALMIRANTE BROWN
364;PRESIDENCIA ROQUE SAENZ PEÑA;CHACO;COMANDANTE FERNANDEZ
364;QUITILIPI;CHACO;QUITILIPI
364;TRES ISLETAS;CHACO;MAIPU
364;VILLA RIO BERMEJITO;CHACO;GENERAL GUEMES
370;COLONIA PASTORIL;FORMOSA;FORMOSA
370;COLONIA VILLAFAÑE;FORMOSA;
370;EL COLORADO;FORMOSA;PIRANE
370;FORMOSA;FORMOSA;FORMOSA
370;GENERAL LUCIO V. MANSILLA;FORMOSA;LAISHI
370;GRAN GUARDIA;FORMOSA;FORMOSA
370;HERRADURA;FORMOSA;LAISHI
370;MOJON DE FIERRO;FORMOSA;FORMOSA
370;PALO SANTO;FORMOSA;PIRANE
370;PIRANE;FORMOSA;PIRANE
370;SAN FRANCISCO DE LAISHI;FORMOSA;LAISHI
370;SAN HILARIO;FORMOSA;FORMOSA
370;VILLA DOS TRECE;FORMOSA;PIRANE
3711;COMANDANTE FRIAS;CHACO;
3711;GENERAL MOSCONI;FORMOSA;RAMON LISTA
3711;INGENIERO GUILLERMO N. JUAREZ;FORMOSA;MATACOS
3711;LOS CHIRIGÜANOS;FORMOSA;BERMEJO
3711;MARIA CRISTINA;FORMOSA;RAMON LISTA
3715;LAGUNA YEMA;FORMOSA;BERMEJO
3715;LAS LOMITAS;FORMOSA;PATINO
3715;NUEVA POMPEYA;CHACO;GENERAL GUEMES
3715;POZO DEL TIGRE;FORMOSA;PATINO
3715;SAUZALITO;CHACO;GENERAL GUEMES
3716;COMANDANTE FONTANA;FORMOSA;PATINO
3716;ESTANISLAO DEL CAMPO;FORMOSA;PATINO
3716;GENERAL MANUEL BELGRANO;FORMOSA;PATINO
3716;IBARRETA;FORMOSA;PATINO
3716;SAN MARTIN;FORMOSA;PATINO
3716;VILLA GENERAL GÜEMES;FORMOSA;PATINO
3718;CLORINDA;FORMOSA;PILCOMAYO
3718;COLONIA BUENA VISTA;FORMOSA;PILAGAS
3718;EL ESPINILLO;FORMOSA;PILAGAS
3718;LAGUNA BLANCA;FORMOSA;PILCOMAYO
3718;LAGUNA GALLO;FORMOSA;PILAGAS
3718;LAGUNA NAICK NECK;FORMOSA;PILCOMAYO
3718;MISION TACAAGLE;FORMOSA;PILAGAS
3718;PALMA SOLA;FORMOSA;PILCOMAYO
3718;RIACHO HE-HE;FORMOSA;PILCOMAYO
3718;SIETE PALMAS;FORMOSA;PILCOMAYO
3718;TRES LAGUNAS;FORMOSA;PILAGAS
3721;COTE LAI;CHACO;TAPENAGA
3721;CHARADAI;CHACO;TAPENAGA
3721;LA SABANA;CHACO;TAPENAGA
3725;CAPITAN SOLARI;CHACO;SARGENTO CABRAL
3725;COLONIA LAS GARCITAS;CHACO;SARGENTO CABRAL
3725;COLONIAS UNIDAS;CHACO;SARGENTO CABRAL
3725;GENERAL JOSE DE SAN MARTIN;CHACO;LIBERTADOR GENERAL SAN MARTIN
3725;LAGUNA LIMPIA;CHACO;LIBERTADOR GENERAL SAN MARTIN
3725;LAS GARCITAS;CHACO;SARGENTO CABRAL
3725;PAMPA ALMIRON;CHACO;LIBERTADOR GENERAL SAN MARTIN
3725;PAMPA DEL INDIO;CHACO;LIBERTADOR GENERAL SAN MARTIN
3725;PRESIDENCIA ROCA;CHACO;LIBERTADOR GENERAL SAN MARTIN
3725;SELVAS DEL RIO DE ORO;CHACO;LIBERTADOR GENERAL SAN MARTIN
3731;CORZUELA;CHACO;GENERAL BELGRANO
3731;CHARATA;CHACO;CHACABUCO
3731;GANCEDO;CHACO;DOCE DE OCTUBRE
3731;GENERAL PINEDO;CHACO;DOCE DE OCTUBRE
3731;LAS BREÑAS;CHACO;NUEVE DE JULIO
3734;COLONIA ELISA;CHACO;SARGENTO CABRAL
3734;EL CURUNDU;CHACO;
3734;ING. BARBET;CHACO;
3734;MACHAGAI;CHACO;VEINTICINCO DE MAYO
3734;PRESIDENCIA DE LA PLAZA;CHACO;PRESIDENCIA DE LA PLAZA
3735;COLONIA D. MATHEU;CHACO;
3735;CORONEL DU GRATY;CHACO;MAYOR LUIS JORGE FONTANA
3735;ENRIQUE URIEN;CHACO;MAYOR LUIS JORGE FONTANA
3735;HERMOSO CAMPO;CHACO;DOS DE ABRIL
3735;LA CLOTILDE;CHACO;O'HIGGINS
3735;PUEBLO CLODOMIRO DIAZ;CHACO;
3735;SAMUHU;CHACO;SAN LORENZO
3735;SAN BERNARDO;CHACO;O'HIGGINS
3735;SANTA SYLVINA;CHACO;FRAY JUSTO SANTA MARIA DE ORO
3735;VILLA ANGELA;CHACO;MAYOR LUIS JORGE FONTANA
3735;VILLA BERTHET;CHACO;SAN LORENZO
3741;BERNARDO DE IRIGOYEN;MISIONES;GENERAL MANUEL BELGRANO
3741;SAN ANTONIO;MISIONES;GENERAL MANUEL BELGRANO
3743;CAPIOVI;MISIONES;LIBERTADOR GENERAL SAN MARTIN
3743;GARUHAPE;MISIONES;LIBERTADOR GENERAL SAN MARTIN
3743;JARDIN AMERICA;MISIONES;SAN IGNACIO
3743;OASIS;MISIONES;SAN IGNACIO
3743;PUERTO LEONI;MISIONES;LIBERTADOR GENERAL SAN MARTIN
3743;PUERTO RICO;MISIONES;LIBERTADOR GENERAL SAN MARTIN
3743;RUIZ DE MONTOYA;MISIONES;LIBERTADOR GENERAL SAN MARTIN
3751;9 DE JULIO;MISIONES;ELDORADO
3751;CARAGUATAY;MISIONES;MONTECARLO
3751;COLONIA VICTORIA;MISIONES;ELDORADO
3751;EL ALCAZAR;MISIONES;LIBERTADOR GENERAL SAN MARTIN
3751;ELDORADO;MISIONES;ELDORADO
3751;MARIA MAGDALENA;MISIONES;ELDORADO
3751;MONTECARLO;MISIONES;MONTECARLO
3751;PUERTO PIRAY;MISIONES;MONTECARLO
3751;SAN PEDRO;MISIONES;SAN PEDRO
3751;TARUMA;MISIONES;MONTECARLO
3751;VILLA ROULET;MISIONES;ELDORADO
3754;ALMAFUERTE;MISIONES;LEANDRO N. ALEM
3754;DOS ARROYOS;MISIONES;LEANDRO N. ALEM
3754;GOBERNADOR LOPEZ;MISIONES;LEANDRO N. ALEM
3754;ITACARUARE;MISIONES;SAN JAVIER
3754;LEANDRO N. ALEM;MISIONES;LEANDRO N. ALEM
3754;MOJON GRANDE;MISIONES;SAN JAVIER
3754;PANAMBI KM 15;MISIONES;OBERA
3754;PANAMBI KM8;MISIONES;OBERA
3754;SAN JAVIER;MISIONES;SAN JAVIER
3755;2 DE MAYO;MISIONES;
3755;25 DE MAYO;MISIONES;VEINTICINCO DE MAYO
3755;ALBA POSSE;MISIONES;VEINTICINCO DE MAYO
3755;ARISTOBULO DEL VALLE;MISIONES;CAINGUAS
3755;CAMPO GRANDE;MISIONES;CAINGUAS
3755;CAMPO RAMON;MISIONES;OBERA
3755;CAMPO VIERA;MISIONES;OBERA
3755;COLONIA ALBERDI;MISIONES;OBERA
3755;COLONIA AURORA;MISIONES;VEINTICINCO DE MAYO
3755;EL SOBERBIO;MISIONES;GUARANI
3755;OBERA;MISIONES;OBERA
3755;PUEBLO GUARANI;MISIONES;OBERA
3755;SALTO DEL MOCONA;MISIONES;
3755;SAN MARTIN;MISIONES;OBERA
3755;SAN VICENTE;MISIONES;GUARANI
3755;SANTA RITA;MISIONES;VEINTICINCO DE MAYO
3755;VILLA BONITA;MISIONES;OBERA
3755;VILLA SALTO ENCANTADO;MISIONES;CAINGUAS
3756;GALARZA;CORRIENTES;
3756;GOBERNADOR VIRASORO;CORRIENTES;
3756;GOMEZ CUE;CORRIENTES;
3756;HORMIGUERO;CORRIENTES;
3756;SANTO TOME;CORRIENTES;SANTO TOME
3757;ANDRESITO;MISIONES;GENERAL MANUEL BELGRANO
3757;GOBERNADOR J. J. LANUSSE;MISIONES;
3757;PUERTO ESPERANZA;MISIONES;IGUAZU
3757;PUERTO IGUAZU;MISIONES;IGUAZU
3757;PUERTO LIBERTAD;MISIONES;IGUAZU
3757;WANDA;MISIONES;
3758;APOSTOLES;MISIONES;APOSTOLES
3758;AZARA;MISIONES;APOSTOLES
3758;CENTINELA;MISIONES;
3758;CONCEPCION DE LA SIERRA;MISIONES;CONCEPCION
3758;GARABI;MISIONES;
3758;GARRUCHOS;MISIONES;
3758;PLAYADITO;MISIONES;
3758;SAN CARLOS;MISIONES;
3758;SAN JOSE;MISIONES;APOSTOLES
376;BONPLAND;MISIONES;CANDELARIA
376;CANDELARIA;MISIONES;CANDELARIA
376;CERRO AZUL;MISIONES;LEANDRO N. ALEM
376;CERRO CORA;MISIONES;CANDELARIA
376;CORPUS;MISIONES;SAN IGNACIO
376;GARUPA;MISIONES;CAPITAL
376;GOBERNADOR ROCA;MISIONES;SAN IGNACIO
376;HIPOLITO YRIGOYEN;MISIONES;SAN IGNACIO
376;POSADAS;MISIONES;CAPITAL
376;SAN IGNACIO;MISIONES;SAN IGNACIO
376;SANTA ANA;MISIONES;CANDELARIA
376;SANTO PIPO;MISIONES;SAN IGNACIO
3772;ALVEAR;CORRIENTES;GENERAL ALVEAR
3772;GUAVIRAVI;CORRIENTES;SAN MARTIN
3772;LA CRUZ;CORRIENTES;SAN MARTIN
3772;PANCHO CUE;CORRIENTES;
3772;PARAJE ESTINGANA;CORRIENTES;
3772;PASO DE LOS LIBRES;CORRIENTES;PASO DE LOS LIBRES
3772;TAPEBICUA;CORRIENTES;PASO DE LOS LIBRES
3772;YAPEYU;CORRIENTES;SAN MARTIN
3772;YURUCUA;CORRIENTES;
3773;AGUAY;CORRIENTES;
3773;CAPITA MINI;CORRIENTES;
3773;COLONIA CARLOS PELLEGRINI;CORRIENTES;SAN MARTIN
3773;CHAVARRIA;CORRIENTES;SAN ROQUE
3773;FELIPE YOFRE;CORRIENTES;MERCEDES
3773;MERCEDES;CORRIENTES;MERCEDES
3773;PASO BUENA VISTA;CORRIENTES;
3773;PERUGORRIA;CORRIENTES;CURUZU CUATIA
3773;SOLARI;CORRIENTES;MERCEDES
3774;BAIBIENE;CORRIENTES;
3774;CURUZU CUATIA;CORRIENTES;CURUZU CUATIA
3774;CHAÑAR;CORRIENTES;
3774;SAUCE;CORRIENTES;SAUCE
3775;BOMPLAND;CORRIENTES;PASO DE LOS LIBRES
3775;COLONIA LIBERTAD;CORRIENTES;MONTE CASEROS
3775;JUAN PUJOL;CORRIENTES;MONTE CASEROS
3775;MOCORETA;CORRIENTES;MONTE CASEROS
3775;MONTE CASEROS;CORRIENTES;MONTE CASEROS
3775;SAN ANTONIO;CORRIENTES;ITUZAINGO
3777;9 DE JULIO;CORRIENTES;SAN ROQUE
3777;BELLA VISTA;CORRIENTES;BELLA VISTA
3777;CAFARREÑO;CORRIENTES;
3777;COLONIA CAROLINA;CORRIENTES;GOYA
3777;COLONIA CECILIO ECHAVARRIA;CORRIENTES;LAVALLE
3777;COLONIA PORVENIR;CORRIENTES;
3777;COLONIA PROGRESO;CORRIENTES;
3777;COLONIA TRES DE ABRIL;CORRIENTES;BELLA VISTA
3777;DESMOCHADO;CORRIENTES;
3777;ESQUINA;CORRIENTES;ESQUINA
3777;GOBERNADOR MARTINEZ;CORRIENTES;
3777;GOYA;CORRIENTES;GOYA
3777;GUAYQUIRARO;CORRIENTES;
3777;IFRAN;CORRIENTES;
3777;LAVALLE;CORRIENTES;LAVALLE
3777;MALVINAS;CORRIENTES;
3777;MANUEL F MANTILLA;CORRIENTES;
3777;PAGO REDONDO;CORRIENTES;
3777;PARAJE MARUCHAS;CORRIENTES;
3777;PARAJE SAN ISIDRO;CORRIENTES;GOYA
3777;PARAJE SANTILLAN;CORRIENTES;
3777;PUEBLO LIBERTADOR;CORRIENTES;ESQUINA
3777;SAN ROQUE;CORRIENTES;SAN ROQUE
3777;SANTA LUCIA;CORRIENTES;LAVALLE
3777;YATAITY CALLE;CORRIENTES;
3781;BERON DE ASTRADA;CORRIENTES;BERON DE ASTRADA
3781;CAA CATI;CORRIENTES;GENERAL PAZ
3781;COLONIA MADARIAGA;CORRIENTES;
3781;ITA IBATE;CORRIENTES;GENERAL PAZ
3781;LORETO;CORRIENTES;SAN MIGUEL
3781;PASO FLORENTIN;CORRIENTES;
3781;SAN MIGUEL;CORRIENTES;SAN MIGUEL
3782;ANGUA;CORRIENTES;
3782;COLONIA PANDO;CORRIENTES;SAN ROQUE
3782;COLONIA SARGENTO CABRAL;CORRIENTES;
3782;COLONIA TATACUA;CORRIENTES;CONCEPCION
3782;CONCEPCION;CORRIENTES;CONCEPCION
3782;MANANTIALES;CORRIENTES;
3782;MBURUCUYA;CORRIENTES;MBURUCUYA
3782;PASO ALEGRE;CORRIENTES;
3782;SALADAS;CORRIENTES;SALADAS
3782;SAN LORENZO;CORRIENTES;SALADAS
3782;SANTA ROSA;CORRIENTES;CONCEPCION
3786;APIPE GRANDE;CORRIENTES;ITUZAINGO
3786;COLONIA SAN ANTONIO;CORRIENTES;
3786;ITUZAINGO;CORRIENTES;ITUZAINGO
3786;VILLA OLIVARI;CORRIENTES;ITUZAINGO
379;CORRIENTES;CORRIENTES;CAPITAL
379;EL SOMBRERO;CORRIENTES;EMPEDRADO
379;EMPEDRADO;CORRIENTES;EMPEDRADO
379;HERLITZKA;CORRIENTES;
379;ITATI;CORRIENTES;ITATI
379;LAGUNA BRAVA;CORRIENTES;CAPITAL
379;MANUEL DERQUI;CORRIENTES;EMPEDRADO
379;PASO DE LA PATRIA;CORRIENTES;SAN COSME
379;RIACHUELO;CORRIENTES;CAPITAL
379;SAN COSME;CORRIENTES;SAN COSME
379;SAN LUIS DEL PALMAR;SAN LUIS;LA CAPITAL
379;SANTA ANA;CORRIENTES;SAN COSME
380;AMANA;LA RIOJA;INDEPENDENCIA
380;EL CANTADERO;LA RIOJA;
380;EL HUACO;LA RIOJA;
380;LA RIOJA;LA RIOJA;CAPITAL
380;PATQUIA;LA RIOJA;INDEPENDENCIA
380;VILLA SANAGASTA;LA RIOJA;SANAGASTA
381;BARRIO 12 DE JUNIO;TUCUMAN;
381;BARRIO CASA ROSADA;TUCUMAN;FAMAILLA
381;BELLA VISTA;TUCUMAN;LEALES
381;COLOMBRES;TUCUMAN;CRUZ ALTA
381;COLONIA LOTE 11;TUCUMAN;
381;DELFIN GALLO;TUCUMAN;CRUZ ALTA
381;EL BRACHO;TUCUMAN;CRUZ ALTA
381;EL CADILLAL;TUCUMAN;TAFI VIEJO
381;EL CHAÑAR;TUCUMAN;BURRUYACU
381;INGENIO LA TRINIDAD;TUCUMAN;CHICLIGASTA
381;LA FLORIDA;TUCUMAN;CRUZ ALTA
381;LA RAMADA;TUCUMAN;BURRUYACU
381;LA REDUCCION;TUCUMAN;LULES
381;LAS BOLSAS;TUCUMAN;
381;LOS GUTIERREZ;TUCUMAN;
381;LOS NOGALES;TUCUMAN;TAFI VIEJO
381;LULES;TUCUMAN;
381;MANUEL GARCIA FERNANDEZ;TUCUMAN;LEALES
381;PACARA;TUCUMAN;CRUZ ALTA
381;RACO;TUCUMAN;TAFI VIEJO
381;SAN ANDRES;TUCUMAN;CRUZ ALTA
381;SAN JAVIER;TUCUMAN;TAFI VIEJO
381;SAN MIGUEL DE TUCUMAN;TUCUMAN;CAPITAL
381;SAN PABLO;TUCUMAN;LULES
381;SIAMBON;TUCUMAN;TAFI VIEJO
381;TAFI VIEJO;TUCUMAN;TAFI VIEJO
381;VILLA CARMELA;TUCUMAN;YERBA BUENA
381;VILLA NOUGUES;TUCUMAN;LULES
3821;CHEPES;LA RIOJA;ROSARIO VERA PENALOZA
3821;DESIDERIO TELO;LA RIOJA;ROSARIO VERA PENALOZA
3821;SAN ANTONIO;LA RIOJA;GENERAL JUAN FACUNDO QUIROGA
3821;ULAPES;LA RIOJA;GENERAL SAN MARTIN
3821;VILLA CASANA;LA RIOJA;
3825;ALTO JAGUE;LA RIOJA;
3825;ANGUINAN;LA RIOJA;CHILECITO
3825;ANGULOS;LA RIOJA;FAMATINA
3825;ANTINACO;LA RIOJA;FAMATINA
3825;CAMPANAS;LA RIOJA;FAMATINA
3825;CARRIZAL OESTE;LA RIOJA;
3825;CHAÑARMUYO;LA RIOJA;FAMATINA
3825;CHILECITO;LA RIOJA;CHILECITO
3825;EL POTRERILLO;LA RIOJA;
3825;FAMATINA;LA RIOJA;FAMATINA
3825;GUANCHIN;LA RIOJA;CHILECITO
3825;GUANDACOL SUR;LA RIOJA;GENERAL FELIPE VARELA
3825;LA CUADRA;LA RIOJA;FAMATINA
3825;LA PUNTILLA;LA RIOJA;
3825;LOS PALACIOS;LA RIOJA;GENERAL FELIPE VARELA
3825;MALLIGASTA;LA RIOJA;CHILECITO
3825;MIRANDA;LA RIOJA;CHILECITO
3825;NONOGASTA;LA RIOJA;CHILECITO
3825;PAGANCILLO;LA RIOJA;GENERAL FELIPE VARELA
3825;PITUIL;LA RIOJA;FAMATINA
3825;POTRERO GRANDE;LA RIOJA;
3825;SAN MIGUEL;LA RIOJA;
3825;SANTA CRUZ;LA RIOJA;FAMATINA
3825;SANTO DOMINGO;LA RIOJA;FAMATINA
3825;SAÑOGASTA;LA RIOJA;CHILECITO
3825;VICHIGASTA;LA RIOJA;CHILECITO
3825;VILLA CASTELLI;LA RIOJA;GENERAL LAMADRID
3825;VILLA UNION;LA RIOJA;GENERAL FELIPE VARELA
3825;VINCHINA;LA RIOJA;VINCHINA
3826;CHAMICAL;LA RIOJA;CHAMICAL
3826;CHAÑAR;LA RIOJA;GENERAL BELGRANO
3826;EL PORTEZUELO;LA RIOJA;GENERAL JUAN FACUNDO QUIROGA
3826;LOMA BLANCA;LA RIOJA;GENERAL BELGRANO
3826;MALANZAN;LA RIOJA;GENERAL JUAN FACUNDO QUIROGA
3826;MILAGRO;LA RIOJA;GENERAL ORTIZ DE OCAMPO
3826;NACATE;LA RIOJA;GENERAL JUAN FACUNDO QUIROGA
3826;OLTA;LA RIOJA;GENERAL BELGRANO
3826;PUNTA DE LOS LLANOS;LA RIOJA;ANGEL VICENTE PENALOZA
3826;SANTA RITA DE CATUNA;LA RIOJA;GENERAL ORTIZ DE OCAMPO
3826;SOLCA;LA RIOJA;
3826;TAMA;LA RIOJA;ANGEL VICENTE PENALOZA
3827;AIMOGASTA;LA RIOJA;ARAUCO
3827;AMINGA;LA RIOJA;CASTRO BARROS
3827;ANILLACO;LA RIOJA;CASTRO BARROS
3827;ASPASINCHE;LA RIOJA;
3827;BAÑADO DE LOS PANTANOS;LA RIOJA;ARAUCO
3827;CUIPAN;LA RIOJA;
3827;CHUQUIS;LA RIOJA;CASTRO BARROS
3827;ESTACION MAZAN;LA RIOJA;ARAUCO
3827;LOS MOLINOS;LA RIOJA;CASTRO BARROS
3827;LOS ROBLES;LA RIOJA;
3827;PINCHAS;LA RIOJA;CASTRO BARROS
3827;SALICAS;LA RIOJA;SAN BLAS DE LOS SAUCES
3827;SAN PEDRO;LA RIOJA;CASTRO BARROS
3827;SCHAQUI;LA RIOJA;
3827;SURIYACO;LA RIOJA;
3827;VILLA MAZAN;LA RIOJA;ARAUCO
383;ALIJILAN;CATAMARCA;SANTA ROSA
383;AMADORES;CATAMARCA;PACLIN
383;BALCOZNA;CATAMARCA;PACLIN
383;BAÑADO DE OVANTA;CATAMARCA;SANTA ROSA
383;CAPAYAN;CATAMARCA;CAPAYAN
383;SAN FDO DEL VALLE DE CATAMARCA;CATAMARCA;
383;COLONIA DEL VALLE;CATAMARCA;CAPAYAN
383;COLONIA NUEVA CONETA;CATAMARCA;CAPAYAN
383;COLPES;CATAMARCA;POMAN
383;COLLAGASTA;CATAMARCA;FRAY MAMERTO ESQUIU
383;CONCEPCION OESTE;CATAMARCA;CAPAYAN
383;CONETA;CATAMARCA;CAPAYAN
383;CHUMBICHA;CATAMARCA;CAPAYAN
383;EL ALTO;CATAMARCA;EL ALTO
383;EL PANTANILLO;CATAMARCA;
383;EL PORTEZUELO;CATAMARCA;VALLE VIEJO
383;EL RODEO;CATAMARCA;AMBATO
383;GUAYAMBA;CATAMARCA;EL ALTO
383;HUAYCAMA;CATAMARCA;VALLE VIEJO
383;HUILLAPIMA;CATAMARCA;CAPAYAN
383;INFANZON;CATAMARCA;EL ALTO
383;LA BAJADA;CATAMARCA;ANCASTI
383;LA CARRERA;CATAMARCA;
383;LA HIGUERA;CATAMARCA;PACLIN
383;LA MERCED;CATAMARCA;PACLIN
383;LA PUERTA;CATAMARCA;AMBATO
383;LAS JUNTAS;CATAMARCA;BELEN
383;LAS LAJAS;CATAMARCA;PACLIN
383;LAS PIRQUITAS;CATAMARCA;FRAY MAMERTO ESQUIU
383;LAS TEJAS DE ABAJO;CATAMARCA;VALLE VIEJO
383;LOS ALTOS;CATAMARCA;SANTA ROSA
383;LOS ANGELES;CATAMARCA;CAPAYAN
383;LOS CASTILLOS;CATAMARCA;AMBATO
383;LOS TALAS;CATAMARCA;AMBATO
383;MANANTIALES;CATAMARCA;SANTA ROSA
383;MIRAFLORES;CATAMARCA;CAPAYAN
383;MONTE POTRERO;CATAMARCA;PACLIN
383;NUEVA CONETA;CATAMARCA;CAPAYAN
383;PALO LABRADO;CATAMARCA;PACLIN
383;POMANCILLO;CATAMARCA;FRAY MAMERTO ESQUIU
383;SAN ANTONIO PACLIN;CATAMARCA;PACLIN
